Course Number,Description,Instructor,Terms Offered,Prerequisites,Equivalent Courses
ECMA 36700,"This course explores economic models of the demand for and supply of different forms of schooling. The course examines the markets for primary, secondary, and post-secondary schooling. The course examines numerous public policy questions, such as the role of government in funding or subsidizing education, the design of public accountability systems, the design of systems that deliver publicly funded (and possibly provided) education, and the relationship between education markets and housing markets.",D. Neal,,ECON 21020 or ECON 21030,
ECMA 38010,"This course will provide an introduction to state-of-the-art methodologies in Empirical Industrial Organization. We will use real-life data to learn about consumers and firms. We will cover demand and preference estimation, production function estimation, empirical models of market entry, and auctions. We will also discuss applications including prediction, policy analysis, and price optimization. Students will learn about theory, estimation, optimization, and practical considerations. Students will apply what they learn using R.",,,,
BUSN 20550,"The new reality is that every company is a software company. Even in traditionally brick-and-mortar industries, software is performing more and more of the work. Many companies (especially ""lean startups"") are purely software-based.
Lacking an understanding of how software works and how software is built puts you at a disadvantage. Our goal is to develop an understanding of both. We believe the best way to do that is to build something yourself, using modern languages and workflows. You will build a functional prototype of your own app idea, and will learn the Ruby on Rails web application framework. Higher-level goals are to:
1. Understand the general, platform-independent patterns of how apps work.
2. Communicate more effectively and credibly.
3. Develop a builder's eye for problems that can be solved with technology.
4. Prioritize features more intelligently by developing a better feel for their costs.
5. Implement a modern software development workflow, from task management to version control to quality assurance to deployment.
6. Be able to make and test small changes to an app yourself.
This course is entirely project-driven. We will build a series of apps in class. Also, you will build your own app idea which will be your final project. This course is designed for a beginner who has never programmed before. 
Note: Due to the intensive support requirements and volume of requests, we can't allow auditors.",R. Betina; Staff,"Autumn
Spring
Winter",,
BUSN 20930,"The social sector, which encompasses nonprofit & for-profit firms that are primarily pursuing a solution to social or environmental issues, is an increasingly important sector. This course provides an overview of the structures, strategy frameworks, and management tools employed by social sector organizations to ensure that they deliver on the impact they seek. In particular, the course examines those approaches that differ from managing a non-impact seeking venture. The same fundamental approaches to marketing, competitive analysis, etc. can be translated across contexts. Where there are differences, however, they are important. We will review & analyze the distinctive challenges of managing for social or environmental impact, as opposed to profit maximization.
We will use cases & exercises to examine and unpack social sector management and strategy. This includes how organizations are structured from a tax-status perspective; common business models; management tools such as the construct of theory of change/intended impact, impact measurement, marketing to donors & beneficiaries; managing paid & unpaid labor; funding sources such as philanthropy & impact investing; governance; and scale and growth. 
This is a ""survey course"" of the management tools, strategy frameworks, and structural approaches used in the social sector. It is not deep dive into any of these topics, and is designed to provide any student with a working knowledge of managing social sector organizations.",,,,
BUSN 20100,This course provides an introduction to financial statements and the financial reporting process from a user's perspective.  The focus of the course is on fundamental accounting concepts and principles.  Students learn how the economic transactions of a firm are reported in the financial statements and related disclosures.  The objective of the course is to provide students with basic skills necessary to read and analyze financial statements as well as to prepare students for more advanced financial statement analysis courses.,M. Muhn; L. Soffer; C. McClure; W. Heltzer; D. Samuels; J. Bonham,"Autumn
Spring
Winter",,
BUSN 20101,"This course focuses on internal operations, cost analysis, and performance evaluation, as opposed to the evaluation of external financial statements. Its targeted audience includes students intending become management consultants, entrepreneurs, managers (e.g., CEOs, CFOs, COOs, and product managers), and anyone with an interest in understanding how firms (1) make decisions about products and services and (2) evaluate performance and control risk. Topics covered include overhead allocation, activity based costing, opportunity cost of excess capacity, customer profitability, capital budgeting, transfer pricing, performance evaluation, risk management, internal controls, and fraud. Applications cover both the manufacturing and services sectors.",Faculty TBD,TBD,,
BUSN 20140,"Course is designed to improve students' understanding of financial information beyond an intro accounting class. It is designed to provide the knowledge of financial statements necessary to conduct a reasonably sophisticated financial statement analysis. Focus is on the use of financial statements, although this requires some understanding of the process by which financial statements are produced. It will benefit students who want to become investment bankers, economic consultants, analysts, or other jobs that requires more than a superficial understanding of financial reporting. 
Not limited to study of financial statements. Will also work with supplemental disclosures, which help the user to interpret the financial statements and to understand better the economic transactions that gave rise to them. Techniques employed will be useful for variety of purposes including (but not limited to) equity, credit, and complex deals (such as M&A) analysis. Although this course does not cover forecasting, valuation, or models of complex deals, a thorough understanding of financial reporting issues is critical to being able to use such techniques. This course especially useful as a prelude to Financial Statement Analysis (B20150/B30130), Advanced Financial Analysis and Valuation for Global Firms (B30131), and Deal Structuring and Financial Reporting Implications (B30122).
Must submit answers to 5 cases based on actual financial statements. There are two in-person exams (Weeks 5 & 10).",H. Christensen,Autumn,,
BUSN 20150,"This course teaches you how to analyze financial statements in order to develop financial statement models, assess credit risk, and, ultimately, value a company. The course provides both a framework and the tools necessary to analyze financial statements. Its primary objective is to advance your understanding of how financial reporting can be used in a variety of decisions (e.g., lending and investment decisions) and analyses (e.g., financial distress and bankruptcy prediction). It is applied in nature and stresses the use of actual financial statements. Throughout the course, I draw heavily on real business examples and use cases to illustrate the application of the techniques and tools. Topics include traditional ratio analysis techniques, accounting analysis (i.e., identifying earnings management and accounting quality issues), and financial risk assessment. The second part of the course focuses on equity valuation, e.g., the preparation of pro forma financial statements, and the use of various valuation models. While students with a multitude of interests will benefit from this course, students with an interest in investment banking, equity or credit analysis, consulting, strategy, corporate finance, or management will find this course particularly relevant.",Faculty TBD,Spring,,
BUSN 20170,"This course provides students with a framework for thinking about tax planning. This framework has two principal advantages. First, it is designed to have value long after the recent and next tax law change. Second, the framework is portable, in that it can be applied to any set of tax laws - those of the United States or any other country. Although the course generally focuses on U.S. based transactions and planning examples, the underlying ideas are applicable in other jurisdictions. Once developed, the framework is applied to a variety of business settings. The applications integrate concepts from finance, economics, and accounting to achieve a more complete understanding of the role of taxes in business strategy. The course also includes periodic focus on the financial accounting ramifications of tax planning. Moreover, the course content has valuation related implications.
Topics include the following: tax planning for mergers, acquisitions, and divestitures; taxation of structures for new businesses (e.g., C Corps, and LLCs); tax planning for financing transactions, including cross-border financing, executive compensation (e.g., incentive stock options); and others.",,TBD,,
BUSN 20180,"The course covers advanced financial analysis and valuation for global firms. It is designed for students who already have a basic familiarity with corporate valuation and DCF analysis (from corporate finance class) as well as solid accounting knowledge. We cover financial analysis of different business models, specific situations (e.g., cyclicals, young growth companies, closely-held firms) as well as the analysis and valuation of foreign companies (e.g., emerging markets, reporting under IFRS). Capital markets have become increasingly global, providing more opportunities for corporate investments and M&A abroad. Evaluating these global investments, however, poses unique challenges for financial analysis (e.g., regarding information, accounting and governance) as well as valuation problems.",,,,
BUSN 20330,"This course is intended for students who are interested in starting new entrepreneurial businesses. It is tactical, hands-on, and covers the nuts and bolts of starting a company with a lesser emphasis on investing in entrepreneurial ventures. Students will learn how to raise seed funding, compensate for limited human and financial resources, establish brand values and positioning, secure a strong niche position, determine appropriate sourcing and sales channels, and develop execution plans in sales, marketing, product development and operations. The emphasis is managerial and entrepreneurial, essentially a working model for starting an enterprise.
This class is executed through a combination of lectures, group assignments based on student's new venture ideas, case discussions, VC and entrepreneur guest lectures and panels, and ultimately ties together in a pitch at the end of the quarter to a panel of VC observers.",C. Przybyl,Autumn,,
BUSN 20340,"This course is designed to guide groups of students through the new venture creation process. Students will have passed through the first round of the College New Venture Challenge, and will be developing their own original new business ideas.
Students may enter the course with ideas that are traditionally for-profit in nature or more socially oriented (either for- or not-for-profit ventures).
Students in this course can expect to learn:
• how to evaluate the potential and viability of their entrepreneurial ideas
• how to conduct research on specific market opportunities
• how to analyze the competitive landscape
• have to evaluate the merits and drawbacks of unique business models
• how to pitch their idea/venture to investors, experts, mentors, and fellow entrepreneurs
Additional topics include financial projections, product /technology development, legal issues for startups, and entrepreneurial marketing tactics.
Students must prepare and submit original feasibility summaries prior to the application deadline. During the course, students will expand these summaries into full business plans, and will be required to present their ventures multiple times to venture capital investors, entrepreneurs, and startup mentors.
Students interested in careers in: startups, technology, business, consulting, and management are encouraged to take this course.
Enrollment by permission based on the feasibility summary application.
This course is not open to MBA students.",S. Marcello,Winter,,
BUSN 20920,"We will study social innovation with a focus on the role of social entrepreneurship for implementing innovative solutions to society's problems.
A team of 4 students will be assigned with an innovative idea that addresses a social problem and could become a (for-profit or non-profit) social venture. Students will provide their preferences for assignment from a list of preselected ideas. Teams will essentially develop a business idea around this innovation. To achieve this, students will research the relevant literature, conduct customer discovery, analyze the competitive landscape, validate and refine the offering, propose a business model, articulate a theory of change, and identify an impact management strategy. Teams will present to the idea sponsor at the end of the quarter and in a mid-quarter check-in.
The hope is that there will be sufficient validation and interest to move forward with some of these ventures with students involved in or leading the venture. One path is to participate in the John Edwardson, '72, Social New Venture Challenge.
Much of class time will be devoted to group exercises to implement frameworks to answer these questions for the projects as well as a set of case study examples we will use throughout the course. In addition, there will be readings and discussions on a set of topics to provide a broader understanding of the economics of social innovation and its relationship to more traditional innovation.
Grading will be based weekly project",,TBD,,
BUSN 20400,"This course offers the financial theory and quantitative tools necessary for understanding how stock, bond, and option prices are determined, and how financial assets are used for investment decisions. Topics covered include the following: the term structure of interest rates; portfolio selection based on mean-variance analysis; models of risk and return (including the CAPM and multifactor models); performance evaluation; market efficiency and the random walk hypothesis; asset pricing anomalies and behavioral finance; derivative security pricing (including options, futures, forwards, and swaps); and international investment.
This course is not open to MBA students.",A. Zhang; Q. Vandeweyer,"Spring
Winter",,
BUSN 20405,"This course develops, critically assesses, and applies theories of pricing derivatives.  Topic discussed are:  forward and futures contracts; interest rate and currency swaps; option trading strategies; binomial option pricing; the Black-Scholes-Merton option pricing model and extensions; risk management with options; empirical evidence and time-varying volatility; the pricing and hedging of corporate securities (common stock, senior and junior bonds, callable bonds, warrants, convertible bonds, and putable bonds); credit risk; and real options.",J. Heaton,Autumn,,
BUSN 20410,"This course provides you with an understanding of major decisions made by corporate financial managers and to familiarize you with the tools used to make these decisions. The first part of the course covers methods used to value investment opportunities. Particular attention is given to discounted cash flow valuation, including the methods of weighted average cost of capital (WACC) and adjusted present value (APV).  The second part of the course focuses on issues of corporate financial structure. The focus will be on the choice of financing through equity, debt and other types of securities and on payout policies through dividends. Specialized topics, such as mergers and acquisitions and corporate hedging will be covered as time permits.",E. Jiang; C. Yannelis,"Spring
Winter",,
BUSN 20600,"The objective  of the course is to provide an intro to marketing strategy. The course develops a common framework (3Cs/4Ps) to analyze real world problems presented in business cases and synthesize recommendations addressing strategic marketing issues. Numerous tools used to support the framework are also introduced. 
GOALS: 1. Introduce marketing strategy and elements of marketing analysis or business situation analysis: Customer analysis, Company analysis and Competitor analysis (3Cs). 2. Develop familiarity with tactical use of elements of the marketing mix - product policy, pricing, promotion and placement/distribution (4 Ps)-in a manner consistent with marketing analysis and strategy. 3. Integrate elements of the framework prescriptively into real world business situations. 4. Provide exposure to business case analysis and critical thinking common in case-based business classes. 
FORMAT: This course uses lectures to introduce concepts, and uses cases and business examples to illustrate them. Grading criteria includes homework assignments/case write-ups, final exam, and class participation that may involve student presentations or in-class exercises.",J. McKinney,"Spring
Summer
Winter",,
BUSN 20701,"Successfully managing other people - be they competitors or co-workers - requires an understanding of their thoughts, feelings, attitudes, motivations, and determinants of behavior. Developing an accurate understanding of these factors, however, can be difficult to achieve because intuitions are often misguided and unstructured experience can be a poor teacher. This course is intended to address this development by providing the scientific knowledge of human thought and behavior that is critical for successfully managing others, and also for successfully managing ourselves.",A. Todorov,Winter,,
BUSN 20702,"This course is designed to make you a better decision maker. Good decision makers know how to recognize decision situations, then how to represent the essential structure of the situations, and how to analyze them with the formal tools from decision theory. But, perhaps more important, they need to be able to think effectively about the inputs into a decision analysis, whether to trust the analysis, and how to use the outputs to guide actions by themselves and their firms. And, maybe most important of all, they need to know how to make effective, unaided intuitive decisions, and to recognize the limits on their intuitive skills. This course will move back and forth between formal, optimal models and behavioral, descriptive models to help you understand and improve your native decision making abilities.",R. White,Autumn,,
BUSN 20710,"Behavioral economics applies psychological insights to economic markets and decision making. In this class, we will discuss the recent theoretical and empirical advances that have been made in this increasingly important field of economics. Being thoughtful about the role of psychology can lead to a greater understanding of how the economy works.",D. Pope; A. Imas,"Spring
Winter",,
BUSN 20711,"Get a head start on your personal leadership development journey by asking critical questions that most others wait to ask such as: What makes me a good leader? How can I improve my leadership skills? How can I add value by creating meaning? What is my definition of leadership? 
This course is about the practice of leadership. We take the approach that leadership development is an ongoing process of self-discovery. The content is based on insights from the core discipline of social psychology.  Students use the data of their own experience as input together with a series of written assignments and in-class activities, including discussions, films, simulations, and peer coaching. The course enables students to engage in reflection, explore values and assess how they want to skillfully apply these lessons to their own leadership practice.  No prerequisites.",,TBD,,
BUSN 20600,"The objective  of the course is to provide an intro to marketing strategy. The course develops a common framework (3Cs/4Ps) to analyze real world problems presented in business cases and synthesize recommendations addressing strategic marketing issues. Numerous tools used to support the framework are also introduced. 
GOALS: 1. Introduce marketing strategy and elements of marketing analysis or business situation analysis: Customer analysis, Company analysis and Competitor analysis (3Cs). 2. Develop familiarity with tactical use of elements of the marketing mix - product policy, pricing, promotion and placement/distribution (4 Ps)-in a manner consistent with marketing analysis and strategy. 3. Integrate elements of the framework prescriptively into real world business situations. 4. Provide exposure to business case analysis and critical thinking common in case-based business classes. 
FORMAT: This course uses lectures to introduce concepts, and uses cases and business examples to illustrate them. Grading criteria includes homework assignments/case write-ups, final exam, and class participation that may involve student presentations or in-class exercises.",J. McKinney,"Spring
Summer
Winter",,
BUSN 20610,"This course blends marketing analytic frameworks, marketing strategy & microeconomic theory, and data to formulate actionable pricing strategies. Students will learn how to coordinate pricing decisions with the rest of the marketing value proposition. Numerous pricing structures are developed in the course, along with their microeconomic foundations. Students will learn the underlying theory for each pricing structure, along with the practical considerations for implementation",Faculty TBD,TBD,,
BUSN 20620,"Marketing decisions in the era of big data are increasingly based on a statistical analysis of large amounts of transaction and customer data that provides the basis for profitability and ROI predictions.  The goal of this class is to introduce modern data-driven marketing techniques and train the students as data scientists who can analyze data and make marketing decisions using some of the state-of-the-art tools that are employed in the industry.  
We will cover a wide range of topics, including demand modeling, the analysis of household-level data, customer relationship management (CRM) and database marketing, and elements of digital marketing.  The focus throughout is on predicting the impact of marketing decisions, including pricing, advertising, and customer targeting, on customer profitability and the return on investment (ROI) from a customer interaction.",G. Compiani,Autumn,,
BUSN 20500,"This core course focuses on understanding levers for structuring, managing, and improving a firm's recurring business processes to achieve competitive advantage in customer responsiveness, price, quality, and variety of products and services. These levers are broadly applicable to service firms, for example banks, hospitals, and airlines, as well as to traditional product-based firms. Processes within firms, as well as between firms, i.e. supply chains, are explored. The fundamental principles underlying state- of-the-art practices, such as Lean, Mass Customization, and Time-Based Competition, are explored so that students learn to critically evaluate these and other operational improvement programs.
Students learn the basics of how to manage the operations of a firm, and how operations issues affect and are affected by the many business decisions they will be called upon to make or recommend in their careers. As such, this course is essential to students aspiring to become consultants, entrepreneurs, or general managers. A working knowledge of operations is also indispensable to those interested in marketing, finance, and accounting, where the interface between these functions and operations is critical. Finally, an understanding of how firms become market leaders through operations is important in investment careers.
This course is not open to MBA students.",J. Birge,Winter,,
BUSN 20510,"This course is designed to sharpen students' analytical skills and elucidate quantitative modeling as an aid in managerial decision-making. The course teaches various ways to frame, set up and solve managerial questions about resource allocation, revenue management, finance, marketing, operations and risk analysis using Microsoft Excel, as well as various tools and add-ins. The course will introduce various modeling frameworks and analytical tools in optimization and simulation. Students in this course will become proficient in formulating relevant managerial questions in the language of optimization and simulation modeling, as well as in solving the resulting problems using the frameworks covered in the course and interpreting the results. The course involves hands-on active learning through in-class cases and examples, homework and term project which applies the tools and modeling frameworks learned in the course to a business problem.",Faculty TBD,TBD,,
BUSN 20520,"The supply chain of a firm is critical to its performance. Supply chains are networks of organizations that supply and transform materials and distribute final products to consumers. If designed and managed properly, these networks can be a crucial source of competitive advantage for both manufacturing and service enterprises.
Students will learn how to examine and improve the flow of materials and information through this network of suppliers, manufacturers, distributors, and retailers in order to match supply with demand (i.e., to get the right products to the right customers in the right amount and at the right time). Key topics include inter- and intra-firm coordination, incentive design, the impact of uncertainty, and the role of information technology. Special emphasis is given to understanding how the business context shapes managerial decisions regarding the strategic design and management of the supply chain.",L. DeValve,Autumn,,
BUSN 20800,"Big Data is a course about data mining: the analysis, exploration, and simplification of large high-dimensional datasets. Students will learn how to model and interpret complicated `Big Data' and become adept at building powerful models for prediction and classification.
Techniques covered include an advanced overview of linear and logistic regression, model choice and false discovery rates, multinomial and binary regression, classification, decision trees, factor models, clustering, the bootstrap and cross-validation. We learn both basic underlying concepts and practical computational skills, including techniques for analysis of distributed data.
Heavy emphasis is placed on analysis of actual datasets, and on development of application specific methodology. Among other examples, we will consider consumer database mining, internet and social media tracking, network analysis, and text mining.",D. Xiu,Winter,,
BUSN 20810,"Students will learn about state-of-the-art machine learning techniques and how to apply them in business related problems. Techniques will be introduced in the context of business applications and the emphasis will be put on how machine learning can be used to create value and provide insights from data.
First, and the biggest, part of the class will focus on predictive analytics. Students will learn about decision trees, nearest neighbor classifiers, boosting, random forests, deep neural networks, naive Bayes and support vector machines. Among other examples, we will apply these techniques to detecting spam in email, click-through rate prediction in online advertisement, image classification, face recognition, sentiment analysis and churn prediction. Students will learn what techniques to apply and why.
In the second part of the class, students will learn about unsupervised techniques for extracting actionable patterns from data. Examples include clustering, collaborative filtering, probabilistic graphical modelling and dimension reduction with applications to customer segmentation, recommender systems, graph and time series mining, and anomaly detection.",Faculty TBD,TBD,,
BUSN 20820,"This course covers a variety of topics in financial econometrics. The topics covered are of real- world, practical interest and are closely linked to material covered in other advance finance courses. Topics covered include ARMA models, volatility models (GARCH), factor models, models for time varying correlations, analysis of panel data, cointegration models for long-run co-movement between prices and models for transactions data and the analysis of transactions cost.",J. Russell,Autumn,,
BUSN 20200,"This course is designed to introduce students to classic macroeconomic issues such as economic growth, recessions, unemployment, inflation, interest rates, government deficit, international capital flows, and exchange rates. The course will provide a unified framework to address these issues and to study the impact of different policies, such as monetary and fiscal policies, on the aggregate behavior of the economy. The analytical tools developed in class will be used to understand the recent experience of the United States and of the world economy and to discuss current policy debates.",,TBD,,
BUSN 20230,"This course will help students develop an understanding of issues in international macroeconomics that are important for investors and managers operating in the global marketplace. It will cover theories of the determination of exchange rates and interest rates, the management of foreign exchange risk, international capital flows, debt and currency crises, international monetary and exchange rate regimes, the roles of the international financial institutions in developing countries, and other characteristics of international financial markets.",Faculty TBD,TBD,,
BUSN 20231,"International trade has always been economically controversial and politically contentious. This course demystifies some of the complex issues that surround discussions of globalization. It asks such questions as: Why do countries engage in trade? Are countries in competition with one another, making one a winner and another a loser, or is trade mutually beneficial? Who gains and who loses from international trade within a country? Should high-wage countries be worried about competition from low-wage countries? Is international trade the main cause of increasing U.S. wage inequality? How do global supply chains affect firms and workers? How is the burden of import tariffs divided in the economy? Do international trade agreements create jobs or destroy jobs? What is the impact of a trade war on the global economy? This course examines these questions and much more. 
There are no strict prerequisites, but I assume familiarity with concepts of microeconomics.",R. Adao,Spring,,
BUSN 20900,"The course applies microeconomics (including elements of price theory, game theory, and industrial organization) to analyze decisions firms face in business environments. There will be specific focus on strategic decisions and the factors that influence firms' competitive advantages. Class time will be devoted to lectures and case discussions. Topics covered include sources of competitive advantage, scope of the firm, efficient performance, pricing, entry and exit, vertical structure, and network externalities.",J. McKinney,Autumn,,
BUSN 20940,"Students in this course will gain experience formulating coherent arguments about the ethics and role of business, by relating their own views to important ideas about business, democracy and markets. We will use this approach to consider a broad range of tradeoffs and controversies that business leaders often confront. 
The business environment creates ethical choices that can be hard to think through clearly. It can also subject companies to negative publicity or political pressure, which affects both how they are regulated and how well they attract employees, customers and partners. Business leaders are often called upon to make credible and persuasive arguments defending their products, their firms, their industries, or the capitalist or market system in which they operate. 
The quality and accuracy of arguments in this environment vary, but usually include assertions that a business or its leaders are behaving unethically or lack legitimacy. The ability to assess these claims, and to address them effectively when you think the facts and arguments are on your side, is a crucial skill, especially given the extensive influence of governments, pressure groups and the media.
This course requires students to consider how their views on the role and conduct of business relate to the ideas of important thinkers, and to apply their views to business settings by discussing controversial topics or decisions.",B. Barry,Spring,,
ECON 10000,"By way of economic theory, applications, and contemporary issues, this course treats (1) the behavior and decision making on the part of individuals, business firms, and governments; and (2) the function of costs, prices, incentives, and markets in the American economy. We discuss contemporary topics (e.g., distribution of income, the environment, education, sports, health care). This course is formerly known as Econ 19800: Introduction to Microeconomics. Students may substitute ""Econ 20000: The Elements of Economic Analysis I"" for this course in the business economics track.",A. Sanderson; M. Lee,,,
ECON 10200,"By way of theory and public policy applications, this course covers current major domestic and international macroeconomic issues in the U.S. economy, including the determination of income and output, inflation, unemployment, and economic growth; money, banking, and the Federal Reserve System; federal spending, taxation, and deficits; and international trade, exchange rates, and the balance of payments. This course is formerly known as Econ 19900: Introduction to Macroeconomics. Students may substitute ""Econ 20200: The Elements of Economic Analysis III"" for this course in the business economics track.","A. Sanderson, G. Pieters",,,
ECON 10700,"How should one bid at an auction in order to win at the lowest possible hammer price? How do firms behave when they possess market power but also face competition? Why do companies engage in R&D races in order to release their new products sooner than their competitors? Why do the Republicans and the Democrats almost always ended up choosing moderates as their party nominees in presidential races? To what extent can the veto power of presidents allow them to influence legislative outcomes? To answer these questions, we study Games of Strategies, and explore how lessons learned from such games can guide one's thinking in everyday strategic interactions.",R. Fang,"Autumn
Spring
Winter",,
ECON 11010,This course provides a solid foundation in probability and statistics for economists. We emphasize topics needed for further study of econometrics in ECON 11020. Topics TBD.,Staff,"Autumn
Winter",,
ECON 11020,"The objective of this course is to introduce students to the practice of econometrics. The course will focus on the use of multiple regression as a tool to establish causal relations. The course emphasizes all steps of the process of empirical research: data collection, analysis, and presentation (both written and oral). Multiple examples of this process will be discussed and students will be expected to read and evaluate existing research. Students will apply the techniques discussed in class to a topic of their choosing. They will write a paper and present results to the class.",Staff,"Autumn
Spring
Winter",,
ECON 11310,"This course will introduce students to advanced methods for data driven decision making with an emphasis on business applications. Students will learn how to build and interpret models that address two fundamental categories of business questions: (i) causal analysis and (ii) forecasting and prediction. The first portion of the course will cover experimental design, as well as non-experimental causal inference (e.g. matching, fixed effects, differences-in-differences, synthetic control). The second portion of the course will focus on machine learning topics including linear regularization, cross validation, tree models, random forests and boosting. The course will also explore cutting edge methods at the intersection of causal inference and machine learning. Heavy emphasis will be placed on discussion of real examples and business applications of these methodologies. The course work will include writing code and analyzing data in R to learn how these techniques are implemented in practice.",A. Root,Spring,,
ECON 11600,"The course equips students with the necessary skills to design and execute experiments effectively. In the first part of the course, students will learn why experiments are conducted and explore different types of experiments along with their respective advantages and disadvantages. Students will gain insights into choosing appropriate incentive structures and appropriate sample sizes. The course addresses critical issues, including internal and external validity, scalability concerns, and the risks of P-hacking and multiple hypothesis testing. Students will also learn about Institutional Review Board procedures. In the second part of the course, students will learn how to measure time preferences, risk preferences, subjective expectations, other-regarding preferences, competitiveness, and discrimination.","F. Ersoy, I. Kwok","Spring
Winter",,
ECON 11700,This is an introductory course to experimental economics and on how to gather your own data using experimental methods to answer important economic questions. This methodology will be applied to learn the main topics in behavioral economics that leverages psychological insights to decision making and its effects on markets. Students may use this course to satisfy the microeconomics method requirement for the business economics specialization.,M. Lee,Autumn,,
ECON 12300,"Most of us seek to be reasonably good people leading what we take to be successful and satisfying lives. There is a mountain of evidence suggesting that most of us fail to live up to our own standards. Worse, we often fail to mark our own failures in ways that could help us improve ourselves. The context in which we try to live good lives is shaped by the vicissitudes of the global economy. The global economy is obviously of interest to those of us studying economics or planning on careers in business. Aspiring entrepreneurs or corporate leaders have clear stakes in understanding practical wisdom in the economic sphere. But anyone who relies upon her pay - or someone else's - to cover her living expenses has some interest in economic life. 
In this course, we will bring work in neo-Aristotelian ethics and neo-classical economics into conversation with empirical work from behavioral economics and behavioral ethics, to read, write, talk, and think about cultivating wisdom in our economic dealings. While our focus will be on business, the kinds of problems we will consider, and the ways of addressing these, occur in ordinary life more generally - at home, in academic settings, and in our efforts to participate in the daily production and reproduction of sound modes of social interaction. (A)",Candace Vogler,Winter,,
ECON 12410,"This program introduces students to the approaches to economic research and experimentation that make UChicago a world leader in the field. Full-time lecturers in the Department of Economics teach classes on topics in macroeconomics, microeconomics, game theory, and field experiments, which are supplemented by guest lectures delivered by preeminent UChicago faculty in economics and other departments whose research applies the tools and insights of the field in new and exciting ways. Participants can apply what they hear about in lectures during small group discussion sections facilitated by a team of outstanding current UChicago students, as well as in labs and site visits to locations such as the Federal Reserve Bank of Chicago.",,,,
ECON 12411,"This program introduces students to the approaches to economic research and experimentation that make UChicago a world leader in the field. Full-time lecturers in the Department of Economics teach classes on topics in macroeconomics, microeconomics, game theory, and field experiments, which are supplemented by guest lectures delivered by preeminent UChicago faculty in economics and other departments whose research applies the tools and insights of the field in new and exciting ways. Participants can apply what they hear about in lectures during small group discussion sections facilitated by a team of outstanding current UChicago students, as well as in labs and site visits to locations such as the Federal Reserve Bank of Chicago.",,,,
ECON 12412,"This two-week program will provide an introduction to UChicago-style, rigorous economics education; it is open only to approved visiting third-year students from Universidad Panamericana. Led by a team of full-time lecturers from the Department of Economics, this course will explore topics in four foundational areas: price theory, game theory, experimental economics, and macroeconomics. Participants will also develop skills that will prepare them for further graduate study or other professional pursuits, such as interviewing, networking, and academic and professional communications. Evening and weekend residential program activities will enable students to experience American life and culture and explore the vibrant city of Chicago. Throughout the program, students will have the opportunity to practice both academic and informal spoken English.",,,,
ECON 12413,"This two-week program will provide an introduction to UChicago-style, rigorous economics education, as well as its business applications. Fulltime lecturers in the Department of Economics will explore topics in four foundational areas: price theory, game theory, experimental economics, and macroeconomics. Evening and weekend residential program activities will enable students to experience American life and culture and explore the vibrant city of Chicago. Throughout the program, students will have the opportunity to practice both academic and informal spoken English.",,,,
ECON 13000,"The course focuses on monetary policy and central bank's attempts to stabilize prices and promote maximum sustainable economic growth. Topics include the structure of the Federal Reserve, the conduct of monetary policy, the term structure of interest rates, risk valuation, management of banking, and financial crises.",K. Kuevibulvanich,"Autumn
Winter",,
ECON 13110,"This course will examine the choices households make about important financial decisions and how these individual choices can impact the aggregate economy. Each week, basic predictions from economic theory will be discussed and compared with empirical findings. Topics will include: asset market participation and household portfolio choice; human capital and student loans; housing and mortgages; retirement planning; credit card debt; payday loans; and the gig/sharing economy. Focus will also be placed on government policies affecting these topics, including so-called household financial engineering, the creation of Government Sponsored Enterprises (GSEs) like ""Fannie"" and ""Freddie,"" and regulatory agencies like the Consumer Financial Protection Bureau (CFPB). The course will provide an introduction to structural modeling for conducting policy counterfactuals. Assessment will be based on problem sets, a midterm and a final. These problem sets will require students to work in R, Stata or other statistical package of the student's choice (with permission of instructor).",D. Koustas,Spring,Prerequisite(s): PBPL 20000 (PBPL 22200 preferred) or ECON 20000 and one undergraduate course in quantitative research methods (Statistics or Econometrics) or the equivalent or consent of the instructor.,
ECON 13200,"This course studies macroeconomic crises within the standard macroeconomic framework. The course introduces students to long run growth and business cycle fluctuations and analyzes recent events such as the 2008 financial crisis, Euro-currency crisis and the 2020 pandemic as distinct macroeconomic phenomena. In particular, we will cover areas including systemic risk in the banking sector, monetary and fiscal policy, sovereign default, labor market consequences and theories of labor determination and models of infection risk. We will also study methodological innovation in macroeconomics, i.e., how macroeconomists have adapted their theory and models to explain these particular episodes.",Staff,Winter,,
